epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4382,0.89658,8.80962,0.70342,1.14569,1.37588,0.98916,1,0.995,0.88203,0,0,0,0,0.49175,8.85483,0.33728,1.06348,1.0365,0.000653846,0.000653846,0.000653846
2,91.3227,0.53044,6.65333,0.59427,0.40808,1.03024,0.97778,0.96703,0.98297,0.88964,0.00801,0.01099,0.00025,5e-05,0.51829,8.24169,0.17453,1.5604,1.0547,0.00129437,0.00129437,0.00129437
3,123.716,0.52902,5.90643,0.53074,0.4169,1.01697,0.99609,1,0.995,0.89334,0,0,0,0,0.49381,8.13522,0.09911,1.21055,1.07757,0.00190849,0.00190849,0.00190849
4,155.851,0.4904,5.33808,0.52475,0.37906,0.99257,0.8109,1,0.96543,0.79631,0.67527,0.83516,0.69419,0.21368,0.54081,3.8209,0.17476,1.10739,1.02036,0.0018812,0.0018812,0.0018812
5,188.612,0.46821,5.03253,0.49928,0.36419,0.99062,0.71557,0.86813,0.87992,0.62182,0.53588,0.64711,0.52076,0.11516,0.75204,4.5449,0.13379,2.09916,1.24871,0.0018416,0.0018416,0.0018416
6,220.852,0.45334,4.79705,0.48364,0.34734,0.982,0.9983,1,0.995,0.9164,0.96514,0.96703,0.93772,0.22773,0.41122,3.63767,0.11157,0.33873,0.90841,0.001802,0.001802,0.001802
7,254.181,0.42899,4.42309,0.47767,0.32507,0.97256,0.99834,1,0.995,0.9383,0.99834,1,0.995,0.46826,0.34867,3.08305,0.12819,0.36398,0.88284,0.0017624,0.0017624,0.0017624
8,286.785,0.39637,4.2226,0.47378,0.31066,0.94596,0.99864,1,0.995,0.95079,0.99864,1,0.995,0.47801,0.31303,2.98195,0.12096,0.24907,0.84087,0.0017228,0.0017228,0.0017228
9,319.373,0.39144,4.13758,0.46783,0.29818,0.95613,0.99705,1,0.995,0.96623,0.99705,1,0.995,0.52985,0.2551,2.83713,0.1305,0.21864,0.83203,0.0016832,0.0016832,0.0016832
10,351.646,0.35862,4.03718,0.4561,0.28757,0.93914,0.99844,1,0.995,0.96716,0.99844,1,0.995,0.40853,0.35877,3.57114,0.12054,0.3239,0.90836,0.0016436,0.0016436,0.0016436
11,384.029,0.36257,3.85581,0.45956,0.28091,0.93891,0.99937,1,0.995,0.96938,0.99937,1,0.995,0.51425,0.33719,2.96915,0.12069,0.2965,0.86651,0.001604,0.001604,0.001604
