epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.845,1.22512,1.4,1.18852,0.86524,0.7896,0.85642,0.47069,1.33621,0.9245,1.22913,0.000475584,0.000475584,0.000475584
2,354.181,1.19667,0.90711,1.17754,0.8393,0.77394,0.85546,0.50816,1.24386,0.85229,1.1844,0.00093307,0.00093307,0.00093307
3,523.454,1.19318,0.82878,1.17731,0.88219,0.80546,0.8908,0.53783,1.25379,0.7562,1.19693,0.00137169,0.00137169,0.00137169
4,693.357,1.16193,0.76848,1.16154,0.90903,0.86466,0.92094,0.57845,1.17122,0.63278,1.14508,0.00134412,0.00134412,0.00134412
5,925.655,1.12819,0.72121,1.14492,0.87824,0.88848,0.92173,0.59378,1.11608,0.60798,1.11709,0.00131582,0.00131582,0.00131582
6,1100.45,1.09944,0.68179,1.12683,0.93783,0.89441,0.94071,0.60845,1.12613,0.57152,1.11602,0.00128753,0.00128753,0.00128753
7,1271.72,1.07674,0.65998,1.11583,0.93059,0.90976,0.94871,0.62136,1.09375,0.55784,1.10941,0.00125923,0.00125923,0.00125923
8,1439.46,1.05626,0.63298,1.10541,0.92053,0.90903,0.95345,0.64353,1.04776,0.52621,1.07448,0.00123094,0.00123094,0.00123094
9,1607.82,1.04011,0.61155,1.09748,0.94162,0.92171,0.96082,0.65557,1.01706,0.49588,1.06943,0.00120265,0.00120265,0.00120265
10,1776.93,1.02146,0.5971,1.08578,0.92275,0.91538,0.95585,0.65395,1.00708,0.50277,1.0506,0.00117435,0.00117435,0.00117435
11,1944.3,0.99992,0.58148,1.07646,0.94743,0.9261,0.96189,0.66316,0.98959,0.47466,1.04561,0.00114606,0.00114606,0.00114606
12,2112.17,0.98963,0.57001,1.07289,0.93918,0.94275,0.96811,0.67092,0.97743,0.46064,1.0351,0.00111776,0.00111776,0.00111776
13,2279.86,0.9785,0.55826,1.06822,0.94264,0.93421,0.96817,0.68615,0.94866,0.45134,1.01837,0.00108947,0.00108947,0.00108947
14,2455.04,0.9576,0.55012,1.05762,0.9612,0.94524,0.9724,0.69019,0.94041,0.43326,1.01335,0.00106118,0.00106118,0.00106118
15,2631,0.9465,0.53716,1.04978,0.9538,0.94549,0.97407,0.70394,0.90961,0.42291,0.99905,0.00103288,0.00103288,0.00103288
16,2807.41,0.93402,0.52567,1.04304,0.95283,0.94486,0.97264,0.69971,0.91292,0.427,1.00199,0.00100459,0.00100459,0.00100459
17,2982.14,0.9194,0.51776,1.03391,0.96423,0.95255,0.97675,0.71188,0.89104,0.40715,0.99378,0.000976293,0.000976293,0.000976293
